Time	Date	RAName	Participant#	Experiment#	Age	Height	Gender	Hand	Order	Condition	Other	TimeofClick	Correct/Incorrect	ObjectSelected
12:36:59	10/18/2018	test					Male		1			34.87283	Incorrect	Dresser
12:36:59	10/18/2018	test					Male		1			34.87283	Incorrect	Dresser
12:37:14	10/18/2018	test					Male		1			49.89833	Incorrect	Teleport_Button
12:37:14	10/18/2018	test					Male		1			0	Incorrect	Grass
3:30:33	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	40.34866	Incorrect	Dresser
3:30:33	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	40.34866	Incorrect	Dresser
3:30:39	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	46.96305	Incorrect	Teleport_Button
3:30:39	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	0	Incorrect	Grass
3:33:03	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	143.5872	Incorrect	NC_Button_Frame
3:33:03	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	143.5872	Incorrect	NC_Button_Frame
3:34:42	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	242.4949	Incorrect	Books_Stacked
3:34:42	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	242.4949	Incorrect	Books_Stacked
3:36:41	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	361.8877	Correct	Oval_Rug
3:36:41	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	361.8877	Incorrect	Oval_Rug
3:40:28	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	589.0237	Incorrect	Picture_Middle
3:40:28	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	589.0237	Incorrect	Picture_Middle
3:41:31	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	652.0749	Incorrect	NC_Button_Frame
3:41:31	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	652.0749	Incorrect	NC_Button_Frame
3:41:58	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	678.4674	Incorrect	Paint_06
3:41:58	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	678.4674	Incorrect	Paint_06
3:42:21	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	701.454	Correct	Lamp_ON_Left
3:42:21	10/18/2018	Kathryn	1	1_pilot	19	73	Male	R	8	Turn	Did another VR study	701.454	Incorrect	Lamp_ON_Left
