Time ,Date,RAName,Participant#,Experiment#,Age,Height,Gender,Hand,Order,Condition,Other,TimeOfClick,Correct/Incorrect,ObjectSelected
"12:40:56	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		15.25699	Incorrect	Dresser",,,,,,,,,,,,,,
"12:40:56	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		15.25699	Incorrect	Dresser",,,,,,,,,,,,,,
"12:41:02	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		20.87737	Incorrect	Teleport_Button",,,,,,,,,,,,,,
"12:41:02	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		0	Incorrect	Grass",,,,,,,,,,,,,,
"12:45:09	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		247.0196	Incorrect	Fireplace",,,,,,,,,,,,,,
"12:45:09	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		247.0196	Incorrect	Fireplace",,,,,,,,,,,,,,
"12:45:41	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		278.8644	Correct	Oval_Rug",,,,,,,,,,,,,,
"12:45:41	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		278.8644	Incorrect	Oval_Rug",,,,,,,,,,,,,,
"12:49:13	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		490.8293	Correct	Lamp_ON_Left",,,,,,,,,,,,,,
"12:49:13	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		490.8293	Incorrect	Lamp_ON_Left",,,,,,,,,,,,,,
"12:54:57	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		835.1121	Correct	Couch_Pillow",,,,,,,,,,,,,,
"12:54:57	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		835.1121	Incorrect	Couch_Pillow",,,,,,,,,,,,,,
"12:56:48	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		946.0699	Incorrect	Floor",,,,,,,,,,,,,,
"12:56:48	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		946.0699	Incorrect	Floor",,,,,,,,,,,,,,
"12:58:25	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		1042.719	Incorrect	Fireplace",,,,,,,,,,,,,,
"12:58:25	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		1042.719	Incorrect	Fireplace",,,,,,,,,,,,,,
"12:58:50	10/24/2018	Jordi	1	1	18		Male	R	8	Turn		1067.493	Correct	Pineapples",,,,,,,,,,,,,,
